,order_1,order_3,expected_values
obj_func_value,2.6722701693979423e-05,0.00017380712270053482,
lattice,3.022302679,3.022302679,
fermi_energy,0.006397165870623015,0.010938800843952238,0.3536
delta,0.9802053901993972,0.9762881367577771,0.942
lambda_c,0.001532924908516306,0.00021636761028758622,0.0040000000000000036
lambda_v,0.03410427433177562,0.03408303417334056,0.069
gamma_0,-0.668325645150887,-0.843610680426642,
gamma_1,,-0.24045399532222053,
gamma_2,,0.22773255632475634,
gamma_3,,0.0005623537932575132,
gamma_4,,0.13805646563511462,
gamma_5,,-0.14968321280790328,
gamma_6,,0.12493800074140524,
