,order_1,order_3,expected_values
obj_func_value,2.6725610230349212e-05,0.0003457410097160606,
lattice,3.022302679,3.022302679,
fermi_energy,0.006346643764140514,-0.012936293849008296,0.3536
delta,0.9802726027335209,1.0063256782785353,0.942
lambda_c,0.0014643253645543822,4.544047407001317e-05,0.0040000000000000036
lambda_v,0.03409482279887768,0.03295318432686692,0.069
gamma_0,-0.6682736172616187,0.8590109299423662,
gamma_1,,-0.3570096070079621,
gamma_2,,0.3870391191186008,
gamma_3,,-0.0038773011658054524,
gamma_4,,0.16939189854762318,
gamma_5,,-0.20064714003835038,
gamma_6,,-0.10740531995133624,
