,order_1,order_3,expected_values
obj_func_value,1.898677315155815e-05,0.00012850570830504851,
lattice,3.167287237,3.167287237,
fermi_energy,0.71002641926122,0.7152664851765268,0.8903
delta,0.8190898649600445,0.8145694187990783,0.763
lambda_c,0.008492897596914427,0.007329127111090022,0.016999999999999904
lambda_v,0.04706430353710464,0.04225671328823761,0.09199999999999997
gamma_0,0.5418684488164969,0.4562779087539348,
gamma_1,,0.13761598684264387,
gamma_2,,-0.15472515563533892,
gamma_3,,0.1248323189478994,
gamma_4,,-0.03055032263091005,
gamma_5,,0.01673131316140536,
gamma_6,,-0.16936218656370905,
