,order_1,order_3,expected_values
obj_func_value,0.0026952464797382982,0.00026078406237415826,
lattice,3.167287237,3.167287237,
fermi_energy,0.6578084450582529,0.7227076960780443,0.8903
delta,0.8970312871299757,0.7928676391318131,0.763
lambda_c,0.0065920097186677185,0.00745553058978532,0.016999999999999904
lambda_v,0.04531064475777342,0.04754912157020279,0.09199999999999997
gamma_0,-0.3814417496047545,-0.6495106736080513,
gamma_1,,-0.09038700973391228,
gamma_2,,0.09002800043440151,
gamma_3,,-0.07538220164724208,
gamma_4,,-0.0599875287525326,
gamma_5,,0.03797914915205425,
gamma_6,,0.11031219144591889,
