,order_1,order_3,expected_values
obj_func_value,0.00021312361284475147,0.000760976514394162,
lattice,3.165,3.165,
fermi_energy,0.3617024202708637,0.3748837613083547,0.8535
delta,1.7658094302789107,1.7530917018147936,1.6750000000000003
lambda_c,0.0,0.0,0.0029999999999996696
lambda_v,0.0721782047807663,0.0718153464681449,0.14800000000000002
gamma_0,-1.0469496463200914,1.1664653603599013,
gamma_1,,-0.03481843582076836,
gamma_2,,0.030745580688486027,
gamma_3,,0.21818973121791682,
gamma_4,,-0.21209995038884377,
gamma_5,,0.1236817400098576,
gamma_6,,-0.2501367348134765,
