,order_1,order_3,expected_values
obj_func_value,0.023750739236066232,0.0009208402368991213,
lattice,3.165,3.165,
fermi_energy,0.20507813152044038,0.3514101134965686,0.8535
delta,1.9846085319434312,1.7899834458983932,1.6750000000000003
lambda_c,-0.009307855730715173,0.007538493223846539,0.0029999999999996696
lambda_v,0.06527432722860815,0.07227137843665465,0.14800000000000002
gamma_0,-0.5824219198041647,1.03653414677515,
gamma_1,,0.03610548966939218,
gamma_2,,-0.02558849102947594,
gamma_3,,0.25400334223033927,
gamma_4,,-0.2197126280795113,
gamma_5,,0.1249821863195352,
gamma_6,,-0.2242735462552574,
